revenue,expenditure,gdp,population,popu_agri,id,data,pcgdp,pcrevenue,pcexpenditure
.05681,.35958,2.16837,.22,.16,277,,9.8562269,.25822726,1.6344545
.02416,.37532,1.175,.35,.32,278,,3.3571429,.069028571,1.0723429
.04027,.38268,1.33431,.25,.22,279,,5.3372402,.16108,1.53072
.0341,.38427,3.2,,,280,,,,
.15512,.51205,5.75,.43,.35,281,1,13.372093,.36074418,1.1908139
.80677,.88248,19,.38,.3,282,,50,2.1230791,2.3223157
.10804,.5808,3.94402,,,283,1,,,
.05302,.328,2.01204,.22,.18,284,,9.1456366,.241,1.4909091
.05016,.53339,1.42436,,,285,,,,
.12043,.38161,2.143,,,286,,,,
.06253,.42242,1.553,.26,.23,287,,5.9730768,.2405,1.6246923
.07634,.37116,1.50052,.16,.12,288,,9.3782501,.47712499,2.3197501
.02358,.35033,.84144,.16,.14,289,,5.2589998,.147375,2.1895626
.02509,.25015,.53051,,,290,,,,
.02742,.28838,.60445,.11,.09,291,,5.4949999,.24927273,2.6216364
.01646,.30286,.54299,.08,.07,292,,6.787375,.20575,3.7857499
.13231,.46538,3.07132,.14,.11,293,,21.938,.9450714,3.3241429
.14011,.46772,2.5339,.16,.14,294,,15.836875,.87568748,2.92325
.04835,.31731,1.15,.11,.09,295,,10.454545,.43954545,2.8846364
.20258,.65589,4.40377,.47,.35,296,1,9.3697233,.43102127,1.3955107
.39208,.96727,15.01542,,,297,,,,
.09771,.40162,4.56236,.23,.2,298,,19.836348,.42482609,1.7461739
.1599,.53926,5.10147,.32,.26,299,,15.942094,.49968749,1.6851875
.26951,.75008,9.113709999999999,.5,.43,300,,18.227421,.53902,1.50016
.34154,.83543,9.22016,.75,.64,301,,12.293547,.45538667,1.1139066
.11673,.31584,3.46205,.09,.07,302,,38.467224,1.2970001,3.5093334
.05885,.27985,1.57691,.08,.07,303,,19.711374,.73562503,3.4981251
.09612,.2705,2.18883,,,304,,,,
.00687,.24955,.68089,,,305,,,,
